Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
300,sigmoid,11,SGD,small_random,0.001,0.086481161,0.292297181
200,tanh,11,SGD,small_random,0,0.086792573,0.122182799
100,tanh,8,Adam,Xavier,0.0001,0.087172531,0.186365867
200,tanh,8,SGD,small_random,0,0.087268308,0.242517202
100,sigmoid,8,SGD,small_random,0,0.087347202,0.121850576
200,tanh,5,SGD,Xavier,0.0001,0.087538846,0.166740994
200,relu,8,SGD,small_random,0.001,0.087702267,0.263919815
100,sigmoid,5,Adam,small_random,0,0.08787065,0.334913701
100,relu,5,Adam,Xavier,0.0001,0.087950304,0.171379244
300,tanh,8,SGD,small_random,0.001,0.088236086,0.212989403
100,tanh,5,Momentum,small_random,0,0.088326178,0.197582992
300,relu,5,Adam,small_random,0,0.088341326,0.729320164
200,tanh,8,SGD,small_random,0.0001,0.088542312,0.411072627
100,relu,11,SGD,small_random,0,0.089008264,0.204980912
100,relu,11,SGD,Xavier,0.001,0.089157879,0.128365038
100,tanh,5,Adam,small_random,0,0.089427769,0.274219768
300,sigmoid,5,SGD,small_random,0.0001,0.089624457,0.157150594
200,tanh,5,Momentum,small_random,0,0.090021126,0.22488324
200,relu,11,Adam,small_random,0.0001,0.090061858,0.177609996
100,relu,8,Adam,small_random,0.0001,0.09017656,0.111932324
300,tanh,11,SGD,small_random,0,0.090425909,0.343743571
300,tanh,5,SGD,small_random,0.001,0.091047779,0.28782823
100,sigmoid,8,Adam,small_random,0.001,0.091493964,0.109567801
200,tanh,5,Adam,small_random,0.001,0.09152282,0.311126818
100,relu,8,SGD,Xavier,0.0001,0.091615148,0.138267115
100,sigmoid,11,Adam,small_random,0,0.091865093,0.120211489
100,sigmoid,5,Adam,small_random,0.0001,0.092018977,0.394494085
100,sigmoid,11,Adam,small_random,0.0001,0.09277302,0.393904989
100,relu,8,Momentum,small_random,0.001,0.09294609,0.456641277
300,sigmoid,8,SGD,small_random,0.001,0.093412355,0.300507889
100,sigmoid,8,SGD,small_random,0.0001,0.093514673,0.285647532
100,tanh,8,SGD,small_random,0.001,0.093856797,0.21492854
100,sigmoid,11,SGD,Xavier,0,0.093863435,0.101880791
100,relu,5,Adam,Xavier,0,0.09388677,0.125686455
100,tanh,5,SGD,small_random,0.0001,0.094237499,0.141604344
100,tanh,5,SGD,Xavier,0.001,0.094752677,0.149412778
300,sigmoid,5,SGD,small_random,0,0.094876036,0.167354314
100,tanh,11,SGD,small_random,0.001,0.094885901,0.215875543
200,relu,8,Adam,small_random,0.0001,0.095411092,0.16388128
100,relu,5,SGD,small_random,0.0001,0.096074559,0.23863538
300,sigmoid,11,SGD,small_random,0.0001,0.096725889,0.236711494
100,tanh,8,SGD,Xavier,0,0.096968748,0.473583703
300,relu,5,Adam,small_random,0.001,0.097007841,0.510892528
200,sigmoid,11,SGD,small_random,0,0.097129755,0.288926399
200,relu,5,SGD,small_random,0.0001,0.097796485,0.263639601
100,sigmoid,5,SGD,Xavier,0.0001,0.09807808,0.117686736
